Introduction,Header,Name,Account,Alias,BaseCurrency,AccountType,AnalysisPeriod,PerformanceMeasure
Introduction,Data,Brogaard Asset Protection Trust,U21244041,,USD,Trust (Advisor Client),"October 1, 2025 to December 31, 2025 (Daily)",TWR
Key Statistics,MetaInfo,Analysis Period,"October 1, 2025 - December 31, 2025"
Key Statistics,Header,BeginningNAV,EndingNAV,CumulativeReturn,5DayReturn,5DayReturnDateRange,10DayReturn,10DayReturnDateRange,BestReturn,BestReturnDate,WorstReturn,WorstReturnDate,MTM,Deposits & Withdrawals,Dividends,Interest,Fees & Commissions,Other,ChangeInNAV
Key Statistics,Data,2355472.295802,2392084.947048,1.554365607,-0.239119007,20251225 - 20251231,0.561523679,20251218 - 20251231,0.44393265,20251210,-0.321022,20251231,-15878.29,0,51490.37,2144.79,-407.868754,-736.35,36612.651246
Historical Performance,MetaInfo,Analysis Period,"July 30, 2025 - December 31, 2025"
Historical Performance,Header,Account,MTD,QTD,YTD,Since Inception
Historical Performance,Data,U21244041,0.312084043,1.554365592,2.225852441,2.225852441
Historical Performance,Header,Month,Account,AccountReturn
Historical Performance,Data,202501,U21244041,-
Historical Performance,Data,202502,U21244041,-
Historical Performance,Data,202503,U21244041,-
Historical Performance,Data,202504,U21244041,-
Historical Performance,Data,202505,U21244041,-
Historical Performance,Data,202506,U21244041,-
Historical Performance,Data,202507,U21244041,-
Historical Performance,Data,202508,U21244041,0.286120176
Historical Performance,Data,202509,U21244041,0.36616291
Historical Performance,Data,202510,U21244041,0.342366144
Historical Performance,Data,202511,U21244041,0.892993199
Historical Performance,Data,202512,U21244041,0.312084043
Historical Performance,Header,Quarter,Account,AccountReturn
Historical Performance,Data,2025 Q1,U21244041,-
Historical Performance,Data,2025 Q2,U21244041,-
Historical Performance,Data,2025 Q3,U21244041,-
Historical Performance,Data,2025 Q4,U21244041,1.554365592
Historical Performance,Header,Year,Account,AccountReturn
Historical Performance,Data,YTD,U21244041,2.225852441
Open Position Summary,MetaInfo,As Of,"December 31, 2025"
Open Position Summary,Header,Date,FinancialInstrument,Currency,Symbol,Description,Sector,Quantity,ClosePrice,Value,Cost Basis,UnrealizedP&L,FXRateToBase
Open Position Summary,Data,12/31/2025,ETFs,USD,BCI,ABRDN BLOOMBERG ALL COMMODIT,Basic Materials,5371,19.53,104895.63,118538.088162,-13642.458162,1
Open Position Summary,Data,12/31/2025,ETFs,USD,BND,VANGUARD TOTAL BOND MARKET,Broad,3168,74.07,234653.76,236966.469696,-2312.709696,1
Open Position Summary,Data,12/31/2025,ETFs,USD,IJR,ISHARES CORE S&P SMALL-CAP E,Broad,495,120.18,59489.1,59179.21089,309.88911,1
Open Position Summary,Data,12/31/2025,ETFs,USD,IMTM,ISHARES MSCI INTL MOMENTUM F,Broad,1130,47.97,54206.1,53325.52486,880.57514,1
Open Position Summary,Data,12/31/2025,ETFs,USD,MTUM,ISHARES MSCI USA MOMENTUM FA,Broad,50,250.31,12515.5,12024.7511,490.7489,1
Open Position Summary,Data,12/31/2025,ETFs,USD,QUAL,ISHARES MSCI USA QUALITY FAC,Broad,366,198.62,72694.92,71130.278052,1564.641948,1
Open Position Summary,Data,12/31/2025,ETFs,USD,USMV,ISHARES MSCI USA MIN VOL FAC,Broad,251,94.16,23634.16,23684.365522,-50.205522,1
Open Position Summary,Data,12/31/2025,ETFs,USD,VBR,VANGUARD SMALL-CAP VALUE ETF,Financials,154,211.79,32615.66,32369.078388,246.581612,1
Open Position Summary,Data,12/31/2025,ETFs,USD,VEA,VANGUARD FTSE DEVELOPED ETF,Broad,2651,62.47,165607.97,159987.908322,5620.061678,1
Open Position Summary,Data,12/31/2025,ETFs,USD,VFVA,VANGUARD U.S. VALUE FACTOR,Broad,43,132.78,5709.54,5566.440946,143.099054,1
Open Position Summary,Data,12/31/2025,ETFs,USD,VGIT,VANGUARD INTERMEDIATE-TERM T,Broad,4311,59.93,258358.23,260772.484842,-2414.254842,1
Open Position Summary,Data,12/31/2025,ETFs,USD,VGSH,VANGUARD SHORT-TERM TREASURY,Broad,17700,58.73,1039521,1042707.3894,-3186.3894,1
Open Position Summary,Data,12/31/2025,ETFs,USD,VNQ,VANGUARD REAL ESTATE ETF,Real Estate,1305,88.49,115479.45,118507.07871,-3027.62871,1
Open Position Summary,Data,12/31/2025,ETFs,USD,VTV,VANGUARD VALUE ETF,Broad,170,190.99,32468.3,32004.35374,463.94626,1
Open Position Summary,Data,12/31/2025,ETFs,USD,VWO,VANGUARD FTSE EMERGING MARKE,Broad,2656,53.76,142786.56,142175.738432,610.821568,1
Open Position Summary,Data,Total,ETFs,USD,,,,,,2354635.88,2368939.161061999,-14303.281062
Open Position Summary,Data,12/31/2025,Cash,USD,USD,United States Dollar,Cash,37449.067048,1,37449.067048, , ,1
Allocation by Asset Class,MetaInfo,Analysis Period,"October 1, 2025 - December 31, 2025"
Allocation by Asset Class,Header,Date,Commodities,Equities,Fixed Income,Cash,NAV
Allocation by Asset Class,Data,20251001,0,0,1998365.22,357902.695802,2356267.915802
Allocation by Asset Class,Data,20251002,0,0,1998957.86,357927.135802,2356884.995802
Allocation by Asset Class,Data,20251003,0,0,1999352.95,357951.575802,2357304.525802
Allocation by Asset Class,Data,20251006,0,0,1999748.04,358025.045802,2357773.085802
Allocation by Asset Class,Data,20251007,0,0,2000143.13,358050.075802,2358193.205802
Allocation by Asset Class,Data,20251008,0,0,2000143.13,358075.105802,2358218.235802
Allocation by Asset Class,Data,20251009,0,0,1999748.04,358100.235802,2357848.275802
Allocation by Asset Class,Data,20251010,0,0,2000933.31,358125.365802,2359058.675802
Allocation by Asset Class,Data,20251013,0,0,2001130.85,358200.755802,2359331.605802
Allocation by Asset Class,Data,20251014,0,0,2001525.94,358225.885802,2359751.825802
Allocation by Asset Class,Data,20251015,0,0,2002316.12,358251.015802,2360567.135802
Allocation by Asset Class,Data,20251016,0,0,2003106.3,358276.145802,2361382.445802
Allocation by Asset Class,Data,20251017,0,0,2003106.3,358301.365802,2361407.665802
Allocation by Asset Class,Data,20251020,0,0,2003106.3,358377.025802,2361483.325802
Allocation by Asset Class,Data,20251021,0,0,2003698.94,358402.245802,2362101.185802
Allocation by Asset Class,Data,20251022,0,0,2004094.03,358427.465802,2362521.495802
Allocation by Asset Class,Data,20251023,0,0,2004094.03,358452.685802,2362546.715802
Allocation by Asset Class,Data,20251024,0,0,2004291.57,358477.905802,2362769.475802
Allocation by Asset Class,Data,20251027,0,0,2005279.3,358553.565802,2363832.865802
Allocation by Asset Class,Data,20251028,0,0,2005476.84,358578.885802,2364055.725802
Allocation by Asset Class,Data,20251029,0,0,2005279.3,358604.205802,2363883.505802
Allocation by Asset Class,Data,20251030,0,0,2004686.66,358629.525802,2363316.185802
Allocation by Asset Class,Data,20251031,0,0,2004884.21,358652.425802,2363536.635802
Allocation by Asset Class,Data,20251103,0,0,1997575.04,366114.805802,2363689.845802
Allocation by Asset Class,Data,20251104,0,0,1998167.68,366137.705802,2364305.385802
Allocation by Asset Class,Data,20251105,0,0,1998365.22,366160.605802,2364525.825802
Allocation by Asset Class,Data,20251106,0,0,1999352.95,366183.555802,2365536.505802
Allocation by Asset Class,Data,20251107,0,0,1999748.04,366206.995802,2365955.035802
Allocation by Asset Class,Data,20251110,0,0,2000143.13,366277.315802,2366420.445802
Allocation by Asset Class,Data,20251111,0,0,2000143.13,366300.755802,2366443.885802
Allocation by Asset Class,Data,20251112,0,0,2000340.67,366324.195802,2366664.865802
Allocation by Asset Class,Data,20251113,0,0,2000538.22,366347.635802,2366885.855802
Allocation by Asset Class,Data,20251114,0,0,2000735.76,366371.175802,2367106.935802
Allocation by Asset Class,Data,20251117,0,0,2001130.85,366441.795802,2367572.645802
Allocation by Asset Class,Data,20251118,0,0,2001525.94,366465.335802,2367991.275802
Allocation by Asset Class,Data,20251119,0,0,2001525.94,366488.875802,2368014.815802
Allocation by Asset Class,Data,20251120,0,0,2002118.58,366512.415802,2368630.995802
Allocation by Asset Class,Data,20251121,0,0,2002711.21,366535.955802,2369247.165802
Allocation by Asset Class,Data,20251124,0,0,2003303.85,366606.575802,2369910.425802
Allocation by Asset Class,Data,20251125,118913.94,712602.79,1540992.48,799.717048,2373308.927048
Allocation by Asset Class,Data,20251126,120632.66,717839.2,1541332.14,833.107048,2380637.107048
Allocation by Asset Class,Data,20251127,120632.66,717839.2,1541332.14,833.107048,2380637.107048
Allocation by Asset Class,Data,20251128,122512.51,720690.14,1540607.1,833.107048,2384642.857048
Allocation by Asset Class,Data,20251201,123210.74,716747.71,1533218.88,5671.897048,2378849.227048001
Allocation by Asset Class,Data,20251202,122566.22,716935.65,1534010.19,5671.897048,2379183.957048
Allocation by Asset Class,Data,20251203,123157.03,720050.73,1535588.55,5671.897048,2384468.207048
Allocation by Asset Class,Data,20251204,123318.16,720915.25,1533742.71,5671.897048,2383648.017048
Allocation by Asset Class,Data,20251205,124392.36,721698.66,1532672.49,5671.897048,2384435.407048
Allocation by Asset Class,Data,20251208,122405.09,718809.26,1531802.13,5671.897048,2378688.377048
Allocation by Asset Class,Data,20251209,121653.15,718079.31,1530944.85,5671.897048,2376349.207048
Allocation by Asset Class,Data,20251210,122619.93,725036.2,1533570.57,5671.897048,2386898.597048
Allocation by Asset Class,Data,20251211,122619.93,728486.68,1534187.79,5671.897048,2390966.297048
Allocation by Asset Class,Data,20251212,121116.05,723645.95,1533114.27,5671.897048,2383548.167048
Allocation by Asset Class,Data,20251215,120901.21,724678.72,1534189.05,5671.897048,2385440.877048
Allocation by Asset Class,Data,20251216,119719.59,717591.85,1535771.67,7579.457048,2380662.567048
Allocation by Asset Class,Data,20251217,121062.34,714334.61,1535751.42,7579.457048,2378727.827047999
Allocation by Asset Class,Data,20251218,120202.98,717600.78,1532466.42,12565.017048,2382835.197048
Allocation by Asset Class,Data,20251219,121062.34,715642.3,1531552.95,18064.377048,2386321.967048
Allocation by Asset Class,Data,20251222,122243.96,718308.14,1530920.04,19439.327048,2390911.467048001
Allocation by Asset Class,Data,20251223,123908.97,720019.57,1530141.81,20148.487048,2394218.837048
Allocation by Asset Class,Data,20251224,123908.97,722085.94,1531674.15,20149.527048,2397818.587048
Allocation by Asset Class,Data,20251225,123908.97,722085.94,1531674.15,20149.527048,2397818.587048
Allocation by Asset Class,Data,20251226,125305.43,723534.59,1533037.92,20151.287048,2402029.227048
Allocation by Asset Class,Data,20251229,122942.19,721279.97,1534085.28,20153.957048,2398461.397047999
Allocation by Asset Class,Data,20251230,106560.64,721609.07,1534171.8,37447.287048,2399788.797048001
Allocation by Asset Class,Data,20251231,104895.63,717207.26,1532532.99,37449.067048,2392084.947048
Time Period Performance Statistics,MetaInfo,Analysis Period,"October 1, 2025 - December 31, 2025"
Time Period Performance Statistics,Header,Date,Account,Return
Time Period Performance Statistics,Data,10/01/25,U21244041,0.033777515
Time Period Performance Statistics,Data,10/02/25,U21244041,0.026188872
Time Period Performance Statistics,Data,10/03/25,U21244041,0.01780019
Time Period Performance Statistics,Data,10/06/25,U21244041,0.01987694
Time Period Performance Statistics,Data,10/07/25,U21244041,0.017818509
Time Period Performance Statistics,Data,10/08/25,U21244041,0.001061406
Time Period Performance Statistics,Data,10/09/25,U21244041,-0.015688115
Time Period Performance Statistics,Data,10/10/25,U21244041,0.05133494
Time Period Performance Statistics,Data,10/13/25,U21244041,0.011569445
Time Period Performance Statistics,Data,10/14/25,U21244041,0.017810977
Time Period Performance Statistics,Data,10/15/25,U21244041,0.034550667
Time Period Performance Statistics,Data,10/16/25,U21244041,0.034538734
Time Period Performance Statistics,Data,10/17/25,U21244041,0.001068018
Time Period Performance Statistics,Data,10/20/25,U21244041,0.003204021
Time Period Performance Statistics,Data,10/21/25,U21244041,0.026164064
Time Period Performance Statistics,Data,10/22/25,U21244041,0.017793903
Time Period Performance Statistics,Data,10/23/25,U21244041,0.001067504
Time Period Performance Statistics,Data,10/24/25,U21244041,0.009428808
Time Period Performance Statistics,Data,10/27/25,U21244041,0.045006083
Time Period Performance Statistics,Data,10/28/25,U21244041,0.009427909
Time Period Performance Statistics,Data,10/29/25,U21244041,-0.007284938
Time Period Performance Statistics,Data,10/30/25,U21244041,-0.023999491
Time Period Performance Statistics,Data,10/31/25,U21244041,0.009327994
Time Period Performance Statistics,Data,11/03/25,U21244041,0.006482235
Time Period Performance Statistics,Data,11/04/25,U21244041,0.026041488
Time Period Performance Statistics,Data,11/05/25,U21244041,0.009323669
Time Period Performance Statistics,Data,11/06/25,U21244041,0.042743454
Time Period Performance Statistics,Data,11/07/25,U21244041,0.017692815
Time Period Performance Statistics,Data,11/10/25,U21244041,0.019671126
Time Period Performance Statistics,Data,11/11/25,U21244041,0.000990526
Time Period Performance Statistics,Data,11/12/25,U21244041,0.009338062
Time Period Performance Statistics,Data,11/13/25,U21244041,0.009337613
Time Period Performance Statistics,Data,11/14/25,U21244041,0.009340543
Time Period Performance Statistics,Data,11/17/25,U21244041,0.019674227
Time Period Performance Statistics,Data,11/18/25,U21244041,0.017681823
Time Period Performance Statistics,Data,11/19/25,U21244041,0.000994092
Time Period Performance Statistics,Data,11/20/25,U21244041,0.026020952
Time Period Performance Statistics,Data,11/21/25,U21244041,0.026013761
Time Period Performance Statistics,Data,11/24/25,U21244041,0.027994547
Time Period Performance Statistics,Data,11/25/25,U21244041,0.143402097
Time Period Performance Statistics,Data,11/26/25,U21244041,0.308774805
Time Period Performance Statistics,Data,11/27/25,U21244041,0
Time Period Performance Statistics,Data,11/28/25,U21244041,0.168263781
